point_index,point_id,region,x,y,z,nx,ny,nz,noise_std,installable,response_abs_4Hz,response_phase_4Hz,response_abs_8Hz,response_phase_8Hz,response_abs_13Hz,response_phase_13Hz,response_abs_14Hz,response_phase_14Hz
0,v1_p000,bearing_zone_left,-0.92,-0.45,0.23926585426899596,-0.16237794515362758,-0.11031110404458395,0.9805431470629685,1.0433557478230073,False,0.921572123596134,2.721517065549378,0.1881822804297771,0.4961740769456562,0.2330287400383782,-3.0784503095453397,0.13791654210952667,2.0834633432138987
1,v1_p001,bearing_zone_right,0.9410104897537701,-0.46052941765572064,0.16978834391299075,0.165937456897617,-0.11279110361860847,0.9796647014886511,1.0260637024217683,True,0.16574334316613992,-1.9144441639944643,0.6849355658342261,-0.97040412387101,0.18324237091103818,-2.9588199911369784,0.30822983138140225,-1.5382801059052982
2,v1_p002,gearbox_zone_left,-0.4730059420227485,0.4797702624518966,0.5585703525030203,-0.08423472710292497,0.11866575477804751,0.9893548147115129,0.7822702353755547,True,0.3540869795861082,-0.0383179557942033,0.225270671480088,-0.9637011822133673,1.0533385567256663,-2.950051270824272,0.28233655842255756,-2.4604066738683104
3,v1_p003,gearbox_zone_right,0.5686751088784348,0.40238395492257056,0.5598625906720668,0.10132333795408989,0.09957571363729636,0.9898576960550766,1.2272600158874085,True,0.16637774642780406,-2.45558075651554,0.5928943239337763,-1.4755279943004784,0.344212397049955,-0.09490556582810046,0.9417432652407117,-0.8818986569275524
4,v1_p004,input_shaft_zone,-1.328777078825271,0.11045091702260257,-0.099139539331989,-0.2325348577989042,0.026845578427893407,0.9722174935822309,1.417790011352929,True,0.5513865177134629,-2.656307576722014,0.1467357315537792,-0.3022915960883569,0.2711047920684311,-0.6698472182898964,0.1266870171019179,2.041237663954702
5,v1_p005,output_shaft_zone,1.31750042358485,0.15220368315774666,-0.005220395835113037,0.2305921261293622,0.03699869241003899,0.9723468353047113,1.1250964605628277,True,0.11722719578282055,0.7292296286873098,0.48581880132979055,2.3125663330484207,0.2079042699013942,0.5076694465909833,0.37663894830277633,-1.6894621714482279
6,v1_p006,bearing_zone_left,-1.0337485596366962,-0.5441572197517387,0.2202741515699486,-0.18132025738629834,-0.13256330057813187,0.9744485289645617,1.0449599453490084,True,0.8879748290048175,2.8558799894580247,0.17398212105682534,1.653643883969042,0.2119197510930427,-0.9784571469706204,0.12669990239164763,-1.8112050501783885
7,v1_p007,bearing_zone_right,0.9400820867867281,-0.33347377814879564,0.1609187880625413,0.1662821493427762,-0.08192360326741471,0.9826692068227384,1.0237869247882745,True,0.16620700820254986,-1.9831814329601323,0.8500410173765292,-2.035666476269015,0.19090601465126375,2.0960764219398014,0.3440330033593306,2.845078240604816
8,v1_p008,gearbox_zone_left,-0.35788823147762894,0.3865537334902591,0.5230501259766022,-0.06398975137100484,0.09599318043547692,0.993323019480249,0.9052834470720561,True,0.34422591673021696,-0.02464464599463436,0.24798484257245879,-2.3123151301139133,1.0126731492913104,-3.0891916275768954,0.29902353883038923,2.30445713024315
9,v1_p009,gearbox_zone_right,0.39983507770238014,0.41279825017315813,0.5259171449473897,0.07140734842875138,0.10239231583195567,0.992177808786784,1.084777457212205,True,0.1840664734068779,3.1018547486340196,0.5314721278202792,-0.7806027062466812,0.4002322154167623,-2.5934931248518085,0.8645478717593041,-0.596346775494999
10,v1_p010,input_shaft_zone,-1.1949000206445497,0.18830909157444545,-0.16626226792374657,-0.21005098162079744,0.0459760798787683,0.9766088189234831,1.4626112395417459,True,0.5795589648301166,-2.4950921381847837,0.15251517476565557,-1.3715065428471338,0.3228412060012912,-2.4247206866277446,0.14599905491683213,-0.047079105793487536
11,v1_p011,output_shaft_zone,1.2889069023787347,0.026968998270192057,-0.04411336557362094,0.22599578293309852,0.0065676667006931986,0.9741061399306364,0.9992352259332213,True,0.11845900248036027,0.5377025983452017,0.5201111141557312,1.5008293228260159,0.2020297494544989,0.8415614775453607,0.3587248741561753,-0.607907938283618
12,v1_p012,bearing_zone_left,-1.1557380177562966,-0.3823099765345479,0.21543809834847294,-0.20278641620722157,-0.09316710384597209,0.974780775437629,0.9724152929391845,True,1.1497822700555174,2.23910144169686,0.16354575067774502,2.5374557996863834,0.21983636542899354,-1.8440593329500503,0.12545657133423,-1.6539797768943616
13,v1_p013,bearing_zone_right,1.17580163925274,-0.3910128770782983,0.17495043076946934,0.20611726508989675,-0.09520042202575188,0.9738852872273921,0.9939781797538293,True,0.1458993400614169,-0.8786511350295094,0.6872439289479666,-0.7623769985230375,0.1699526609817198,-0.8918096100716836,0.3080910307200348,-1.0827265170086315
14,v1_p014,gearbox_zone_left,-0.5835232972437902,0.30956157191958583,0.5540023809039345,-0.10415152845254262,0.0767400352924233,0.9915964028294559,0.8795492642921179,True,0.42098126566874366,-0.8105387197362853,0.2174376621565039,-0.5954788010780455,0.7931242755972843,-0.532591366567353,0.2482706618847466,-0.1138438982283648
15,v1_p015,gearbox_zone_right,0.4968680758344122,0.583880596698975,0.5621235911024376,0.08815385721472513,0.1438771321783171,0.9856613354972938,1.1305248256981053,True,0.16712636727724012,-2.4402861961697657,0.5015304073016791,-0.003600140060774627,0.3862952871812604,-1.5841744588269406,1.1762083433971313,-2.466244478602784
16,v1_p016,input_shaft_zone,-1.112363180816686,0.012999657311774868,-0.1088188860225814,-0.19632762060432926,0.003186648820060625,0.9805331767243474,1.3859755941297995,True,0.8191567803350763,2.908903115711597,0.16409426351561895,-2.363387369363317,0.3159198726435145,-2.4522099619474718,0.14794427183711628,-0.6339066822831413
17,v1_p017,output_shaft_zone,1.0701537102787726,0.11442209346183936,-0.098676016294863,0.1890758029701293,0.02807806562820351,0.9815609828032995,1.0807339882306375,True,0.12954925010563684,-0.4074362008498427,0.6657043118175502,0.8938225113296788,0.2556677994424479,-2.376768920225222,0.4679731044218075,2.937310372361405
18,v1_p018,bearing_zone_left,-0.8369692347121427,-0.32832196014509735,0.17625784335838335,-0.14848505738231996,-0.08089854154420781,0.9856001287084886,0.9001736999046138,True,0.9160622053561991,2.4840063136009323,0.195861781612083,-0.4493176442212786,0.24562501843772155,1.10728536451576,0.14453018761775316,-0.07231910950148668
19,v1_p019,bearing_zone_right,0.9893759674366014,-0.5923158744480661,0.20782812235170495,0.17349509504555066,-0.14426026314205295,0.9742116959230787,1.050452978661779,True,0.16131907035303678,-1.5818641395683142,0.5761746175300627,0.2986041118445965,0.17407881786071133,-1.1295682132498446,0.2906908262680982,0.6307798765755264
20,v1_p020,gearbox_zone_left,-0.6273631033439836,0.5524426861786529,0.5578232629710831,-0.11117012621927114,0.13596397636401095,0.9844567030437031,0.794931286479884,True,0.3708130068980763,-0.191584604525094,0.2011404235399126,0.5309643997270427,0.927869674156295,-1.7359257830194932,0.25291759204792214,-0.2138664179009214
21,v1_p021,gearbox_zone_right,0.7479459649290527,0.42699764461371953,0.5178100020201863,0.13268602297556878,0.1052077993530514,0.9855585919985755,1.0386346179890453,True,0.1482171802040723,-1.7206047782170164,0.6419321552710398,-2.1392952547488915,0.2933384012728087,2.2114867402051273,0.9265370588575619,-0.9207925697625617
22,v1_p022,input_shaft_zone,-1.4387974175002447,0.001479755790007642,-0.09732465394436784,-0.2507120274052487,0.0003581237065539071,0.9680616463127544,1.3047815381893824,True,0.5218308948412429,-2.5946751757846602,0.139624114565083,0.6103388705568511,0.232848227488501,1.4272083930011759,0.11912753282833177,-2.077465120812372
23,v1_p023,output_shaft_zone,1.3004807149232587,0.2882938792684412,-0.11057577775777548,0.22736589168179921,0.07000423656816576,0.9712899454654353,0.9492787812851097,True,0.11364292756224988,0.7700153928496642,0.41537028103489587,-3.011102524630385,0.21665106308763607,0.1035135892836282,0.41935547037042503,-2.247852914139121
24,v1_p024,bearing_zone_left,-0.9602255300016764,-0.5020588151920331,0.15981368129099832,-0.16902743088797595,-0.12274563086586994,0.977938258639445,0.8378291965845303,True,0.8812316417584581,2.6583280646543814,0.1794616816481007,0.877872031668619,0.2140265619371493,-1.9982918739670916,0.12928716165310308,-3.0860154174117382
25,v1_p025,bearing_zone_right,0.9237845778238631,-0.40176390118025007,0.15479703757078475,0.16322977696720103,-0.09859777069576597,0.9816488779217664,1.1379535181247449,True,0.1671799509494507,-2.030736727436486,0.7458866979296227,-1.5092038600186417,0.18712394780175043,2.572780190233188,0.3235422809036931,-2.476297040834308
26,v1_p026,gearbox_zone_left,-0.40737670931382464,0.4451653517375596,0.5194071987110891,-0.07268510621486482,0.11031589481365668,0.9912352287353372,0.78362535785256,True,0.34627235421417724,-0.03507879981835351,0.23638647621655431,-1.7231769955176055,1.0772067411827726,2.7656508578187946,0.29141224785471964,2.8040016655160143
27,v1_p027,gearbox_zone_right,0.48911511342496133,0.39465160682593003,0.5275220787364273,0.08728095014612176,0.09781146456295925,0.9913702401936622,1.3281585793423683,True,0.1746433485396758,-2.840157404333596,0.570852605006583,-1.3380656368769466,0.3650840005694791,-1.2831135148385122,0.9012394615080754,-0.8976012055878919
28,v1_p028,input_shaft_zone,-1.2770761823593773,0.1564590134187933,-0.1756743031181708,-0.22386819693941137,0.03809286933962844,0.973874716636884,1.22748640877914,True,0.5712096399749936,-2.476187279416082,0.14627683766696262,-0.6631212010903598,0.2940858185064109,-1.1740324719270712,0.13545542595774415,1.355622671152345
29,v1_p029,output_shaft_zone,1.3208151549929705,0.09208615441007136,-0.07423542477413521,0.2312416526936573,0.022391637862055246,0.9726386341357002,1.0336234423831074,True,0.11521279636248008,0.7178702523253401,0.48216431468566895,2.1136971927357897,0.2018872898357986,1.044567896326028,0.3661077928437946,-0.689578626720743
30,v1_p030,bearing_zone_left,-1.125706100677264,-0.4748517935377138,0.14951500108475904,-0.19726058614247105,-0.11556887503232442,0.9735153292467932,0.9567377847079154,True,0.9934551556957298,2.4061087587421475,0.16306228345643067,2.3314493436521344,0.2050640549510937,-0.9495310689241245,0.1210216344109061,-1.173444374776311
