layout,snr_db,fault_label,frequency_hz,amplitude,pd
bearing_left+gearbox_left+output_shaft,-25.0,4Hz,3.999998173832588,0.01910292277864388,0.07596153846153846
bearing_left+gearbox_left+output_shaft,-25.0,8Hz,7.9999285714666994,0.024889351734884123,0.08942307692307692
bearing_left+gearbox_left+output_shaft,-25.0,13Hz,13.00008888535092,0.010502919663465827,0.01826923076923077
bearing_left+gearbox_left+output_shaft,-25.0,14Hz,14.000023485389159,0.04005274094917999,0.5923076923076923
bearing_left+gearbox_left+output_shaft,-20.0,4Hz,3.999998173832588,0.01910292277864388,0.2721153846153846
bearing_left+gearbox_left+output_shaft,-20.0,8Hz,7.9999285714666994,0.024889351734884123,0.45096153846153847
bearing_left+gearbox_left+output_shaft,-20.0,13Hz,13.00008888535092,0.010502919663465827,0.07115384615384615
bearing_left+gearbox_left+output_shaft,-20.0,14Hz,14.000023485389159,0.04005274094917999,0.9961538461538462
bearing_left+gearbox_left+output_shaft,-15.0,4Hz,3.999998173832588,0.01910292277864388,0.8692307692307693
bearing_left+gearbox_left+output_shaft,-15.0,8Hz,7.9999285714666994,0.024889351734884123,0.9644230769230769
bearing_left+gearbox_left+output_shaft,-15.0,13Hz,13.00008888535092,0.010502919663465827,0.38846153846153847
bearing_left+gearbox_left+output_shaft,-15.0,14Hz,14.000023485389159,0.04005274094917999,1.0
bearing_left+gearbox_left+output_shaft,-12.0,4Hz,3.999998173832588,0.01910292277864388,0.9971153846153846
bearing_left+gearbox_left+output_shaft,-12.0,8Hz,7.9999285714666994,0.024889351734884123,1.0
bearing_left+gearbox_left+output_shaft,-12.0,13Hz,13.00008888535092,0.010502919663465827,0.760576923076923
bearing_left+gearbox_left+output_shaft,-12.0,14Hz,14.000023485389159,0.04005274094917999,1.0
bearing_left+gearbox_left+output_shaft,-10.0,4Hz,3.999998173832588,0.01910292277864388,1.0
bearing_left+gearbox_left+output_shaft,-10.0,8Hz,7.9999285714666994,0.024889351734884123,1.0
bearing_left+gearbox_left+output_shaft,-10.0,13Hz,13.00008888535092,0.010502919663465827,0.9451923076923077
bearing_left+gearbox_left+output_shaft,-10.0,14Hz,14.000023485389159,0.04005274094917999,1.0
bearing_left+gearbox_left+output_shaft,-5.0,4Hz,3.999998173832588,0.01910292277864388,1.0
bearing_left+gearbox_left+output_shaft,-5.0,8Hz,7.9999285714666994,0.024889351734884123,1.0
bearing_left+gearbox_left+output_shaft,-5.0,13Hz,13.00008888535092,0.010502919663465827,1.0
bearing_left+gearbox_left+output_shaft,-5.0,14Hz,14.000023485389159,0.04005274094917999,1.0
