amplitude_case,separation_hz,replicate,sample_count,amplitude_1,amplitude_2,component_1_snr_db,component_2_snr_db,main_estimated_k,main_max_frequency_error_hz,main_success,main_bic_improvement,condition_design,condition_normal,smallest_singular_value,numerical_rank,column_count,ill_conditioned,music_estimated_k,music_max_frequency_error_hz,music_success,music_grid_step_hz,main_runtime_seconds,music_runtime_seconds,main_frequency_1_hz,main_frequency_2_hz,music_frequency_1_hz,music_frequency_2_hz
equal,0.00025,0,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.00237817926499595,False,11.047547692731314,1.1309104230862086,1.2789583850450272,0.936799823901505,5,5,False,1,nan,False,2.5e-05,0.14456540000537643,0.03771209999831626,13.498095895429694,13.502503179264997,13.499975,nan
equal,0.00025,1,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.004517318765252298,False,67.94059464270322,1.1290139951949232,1.2746726013460021,0.9376819359098574,5,5,False,1,nan,False,2.5e-05,0.11069810000481084,0.030832399999781046,13.495357681234747,13.49977341457279,13.499925,nan
equal,0.00025,2,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.0032384562974439035,False,25.24783134627978,1.044809053138442,1.0916259575200475,0.9778516398762263,5,5,False,1,nan,False,2.5e-05,0.1505641000039759,0.04375930000242079,13.496636543702555,13.501424348986987,13.500075,nan
equal,0.00025,3,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.005810872001950074,False,37.97117714846718,1.0768024952994812,1.1595036138831893,0.9623610016900245,5,5,False,1,nan,False,2.5e-05,0.1278628000000026,0.055917999998200685,13.49406412799805,13.501006953022285,13.50005,nan
equal,0.00025,4,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.005628403504815083,False,11.422613273216484,1.016498952849826,1.033270121144793,0.9917848237649929,5,5,False,1,nan,False,2.5e-05,0.12695659999735653,0.038047499998356216,13.494246596495184,13.501871494598554,13.499975,nan
equal,0.00025,5,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.008755980499827842,False,25.30170943192752,1.060131200970656,1.1238781632714856,0.9703986819332683,5,5,False,1,nan,False,2.5e-05,0.13016290000086883,0.04085109999869019,13.491119019500172,13.50051439841988,13.49995,nan
equal,0.00025,6,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.006328355990925516,False,23.556465861667675,1.1330494977900334,1.283801164442247,0.9358060590926331,5,5,False,1,nan,False,2.5e-05,0.1458861999999499,0.04827669999940554,13.493546644009074,13.49949367353119,13.4999,nan
equal,0.00025,7,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.006018529937529493,False,127.55335482864939,1.0271222739634835,1.0549801656719173,0.986531898220433,5,5,False,2,0.0008749999999988489,False,2.5e-05,0.15024679999623913,0.04593429999658838,13.49385647006247,13.501159084064808,13.499125,13.501
equal,0.00025,8,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.0039582672060021196,False,92.7375470250663,1.2164429525525666,1.479733456814806,0.8980747726626318,5,5,False,1,nan,False,2.5e-05,0.1252186999990954,0.0412644999960321,13.495916732793997,13.499881557278036,13.4999,nan
equal,0.00025,9,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.006529156854432117,False,20.437654547753482,1.0161236989318845,1.032507371531015,0.9919711300504924,5,5,False,1,nan,False,2.5e-05,0.19856789999903413,0.05251229999703355,13.493345843145567,13.500968037854893,13.50005,nan
